Dance,Figure Name,Level,Step,Lead Feet Positions,Lead Alignment,Lead Amount of Turn,Lead Rise and Fall,Lead Footwork,Lead CBM,Lead Sway,Follow Feet Positions,Follow Alignment,Follow Amount of Turn,Follow Rise and Fall,Follow Footwork,Follow CBM,Follow Sway,General Notes
Waltz,Progressive Chasse to Right,Bronze,4,RF to side and slightly back,Backing DW,Nil,,TH,false,Nil,LF to side and slightly fwd,Facing DW,Nil,,TH,false,Nil,
Waltz,Progressive Chasse to Right,Bronze,5,LF back in CBMP,Backing DW,Nil,,T,true,Nil,RF fwd in CBMP OP,Facing DW,Nil,,H,true,Nil,
Waltz,Weave from PP,Silver,1,RF fwd and across in PP and CBMP,Pointing centre Body facing DC,1/8 between preceding step and 1,Com to rise e/o 1,HT,false,Nil,LF fwd in PP and CBMP,Facing DC against LOD,Com to turn L,Com to rise e/o 1,HT,false,Nil,Note. Less turn could be made on the Whisk to end facing LOD or Open Impetus could be used as entry.
Waltz,Weave from PP,Silver,2,LF fwd,Facing centre,Cont to turn L 1/4 between 2-3,Cont to rise on 2,T,true,Nil,RF to side and slightly back,Backing DC,1/4 between 1-2,Cont to rise on 2,T,false,Nil,
Waltz,Weave from PP,Silver,3,RF to side and slightly back,Backing LOD,1/8 between 3-4,Up. Lower e/o 3,TH,false,Nil,LF to side and slightly fwd,Pointing DC,1/2 between 2-3 Body turns less.,Up. Lower e/o 3,TH,false,Nil,
Waltz,Weave from PP,Silver,4,LF back in CBMP,Backing DC,Com to turn L,Com to rise e/o 4 NFR,TH,false,Nil,RF fwd in CBMP OP,Facing DC,Body turns less.,Com to rise e/o 4,HT,false,Nil,
Waltz,Weave from PP,Silver,5,RF back,Backing DC,1/4 between 5-6 Body turns less,Cont to rise on 5,T,true,Nil,LF fwd,Facing DC,Com to turn L,Cont to rise on 5,T,true,Nil,
Waltz,Weave from PP,Silver,6,LF side and slightly fwd,Pointing DW,Nil,Up. Lower e/o 6,TH,false,Nil,RF to side and slightly back,Backing DW,1/4 between 5-6 Body turns less,Up. Lower e/o 6,TH,false,Nil,
Waltz,Weave from PP,Silver,7,RF fwd in CBMP OP,Facing DW,Nil,,H,true,Nil,LF back in CBMP,Backing DW,Nil,,T,true,Nil,Note. The Weave from PP may be ended in PP.
Waltz,Closed Telemark,Silver,1,LF fwd,Facing DC,Com to turn L Just under 3/8 between 1-2,Rise e/o 1,HT,true,S,RF back,Backing DC,Com to turn L,Rise slightly e/o 1 NFR,TH,true,S,
Waltz,Closed Telemark,Silver,2,RF to side,Almost backing LOD,Just over 3/8 between 2-3 Body turns less,Up,T,false,L,LF closes to RF (Heel Turn),Facing LOD,3/8 between 1-2,Cont to rise on 2,HT,false,R,
Waltz,Closed Telemark,Silver,3,LF to side and slightly fwd,Pointing DW,Nil,Up. Lower e/o 3,TH,false,S,RF to side and slightly back,Backing DW,3/8 between 2-3 Body turns less,Up. Lower e/o 3,TH,false,S,
Waltz,Closed Telemark,Silver,4,RF fwd in CBMP OP,Facing DW,Nil,,H,true,S,LF back in CBMP,Backing DW,Nil,,T,true,S,
Waltz,Open Telemark and Cross Hesitation,Silver,1,LF fwd,Facing DC,Com to turn L 1/4 between 1-2,Rise e/o 1,HT,true,S,RF back,Backing DC,Com to turn L,Rise slightly e/o 1 NFR,TH,true,S,Note. Cross Hesitation can be used from other positions and may be overturned forward and across. No foot swivel on 4 unless overturned.
Waltz,Open Telemark and Cross Hesitation,Silver,2,RF to side,Backing DW,1/2 between 2-3 Body turns less,Up,T,false,L,LF closes to RF (Heel Turn),Facing LOD,3/8 between 1-2,Cont to rise on 2,HT,false,R,
Waltz,Open Telemark and Cross Hesitation,Silver,3,LF to side and slightly fwd in PP,Pointing DW Body facing wall,Body completes turn,Up. Lower e/o 3,TH,false,S,RF diag. fwd in PP R side leading,Pointing to LOD,Slight body turn to L,Up. Lower e/o 3,TH,false,S,
Waltz,Open Telemark and Cross Hesitation,Silver,4,RF fwd in PP and CBMP,Pointing DW Body facing wall,,Com to rise e/o 4,HT,true,S,LF fwd and across in PP and CBMP,Pointing to LOD (Moving DW),Com to turn L,Com to rise e/o 4,HT,true,S,
Waltz,Open Telemark and Cross Hesitation,Silver,5,LF closes to RF without weight,Facing DW,,Cont to rise on 5 and 6,Toes of both feet,false,S,RF to side,Backing wall,1/4 between 4-5,Cont to rise on 5 and 6,T,false,L,
Waltz,Open Telemark and Cross Hesitation,Silver,6,Position held,Facing DW,,Lower e/o 6,TH (RF),false,S,LF closes to RF,Backing DW,1/8 between 5-6,Lower e/o 6,TH,false,L,
Waltz,Open Telemark and Wing,Gold,1,LF fwd,Facing DC,Com to turn L 1/4 between 1-2,Rise e/o 1,HT,true,S,RF back,Backing DC,Com to turn L,Rise slightly e/o 1 NFR,TH,true,S,"Note. Wing step 4 is bold. No foot swivel on step 5 (Man), but body turn only. Foot swivel is used to end facing DC."
Waltz,Open Telemark and Wing,Gold,2,RF to side,Backing DW,1/2 between 2-3 Body turns less,Up,T,false,L,LF closes to RF (Heel Turn),Facing LOD,3/8 between 1-2,Cont to rise on 2,HT,false,R,
Waltz,Open Telemark and Wing,Gold,3,LF side and slightly back in PP,Pointing DW Body facing wall,1/8 between 3-4,Up. Lower e/o 3,TH,false,S,RF fwd and slightly to R in PP R side leading,Pointing to LOD,Slight body turn to L,Up. Lower e/o 3,TH,false,S,
Waltz,Open Telemark and Wing,Gold,4,RF fwd and across in PP and CBMP,Pointing to LOD,Body turn on 5,Slight rise on 5 and 6 NFR,H,true,S,LF fwd in PP and CBMP,Facing DC,1/8 between 3-4,Com to rise e/o 4,HT,true,S,
Waltz,Open Telemark and Wing,Gold,5,LF com. to close to RF,Towards alignment of 6,1/8 between 5-6,,Pressure on T of RF foot flat IE of T (LF),false,S,RF fwd preparing to step OP on L side,Facing centre.,1/8 between 4-5,Cont to rise on 5,T,false,S,
Waltz,Open Telemark and Wing,Gold,6,LF closes to RF without weight,Facing DC,Nil,Lower e/o 6,Pressure on T of RF foot flat IE of T (LF),false,S,LF fwd in CBMP OP on L side,Facing against LOD cont. turn to back DC,1/4 between 5-6 then cont turn body,Up. Lower e/o 6,TH (RF),false,S,
Waltz,Open Impetus and Cross Hesitation,Silver,1,LF back,Backing LOD,Com to turn R 3/8 between 1-2,Rise e/o 2,TH,true,S,RF fwd,Facing LOD,Com to turn R,Nil,HT,true,S,
Waltz,Open Impetus and Cross Hesitation,Silver,2,RF closes to LF (Heel Turn),Facing DC,Slight body turn to R,Up. Lower e/o 3,HT,false,L,LF to side,Backing DC,3/8 between 1-2,Rise e/o 2,T,false,R,
Waltz,Open Impetus and Cross Hesitation,Silver,3,LF diag. fwd in PP L side leading,Pointing DC Body facing LOD,Nil,Com to rise e/o 4,TH,false,S,RF side in PP having brushed to LF,Pointing to centre (moving DC),3/8 between 2-3 Body turns less,Up. Lower e/o 3,TH,false,S,
Waltz,Open Impetus and Cross Hesitation,Silver,4,RF fwd in PP and CBMP,Pointing DC Body facing LOD,Body turn to L,Cont to rise on 5 and 6,H,true,S,LF fwd and across in PP and CBMP,Pointing centre (moving DC),Com to turn L,Com to rise e/o 4,HT,true,S,
Waltz,Open Impetus and Cross Hesitation,Silver,5,LF closes to RF without weight,Facing DC,Nil,Lower e/o 6,Toes of both feet,false,S,RF to side.,Backing LOD,1/4 between 4-5,Cont to rise on 5 and 6,T,false,L,
Waltz,Open Impetus and Cross Hesitation,Silver,6,Position held,Facing DC,Nil,,TH (RF),false,S,LF closes to RF,Backing DC,1/8 between 5-6,Lower e/o 6,TH,false,L,Note. There is no foot swivel on LF on step 6 (Man).
Waltz,Open Impetus and Wing,Gold,1,LF back,Backing LOD,Com to turn R 3/8 between 1-2,Rise e/o 2,TH,true,S,RF fwd,Facing LOD,Com to turn R,Nil,HT,true,S,
Waltz,Open Impetus and Wing,Gold,2,RF closes to LF (Heel Turn),Facing DC,Slight body turn to R,Up. Lower e/o 3,HT,false,L,LF side,Backing DC,3/8 between 1-2,Rise e/o 2,T,false,R,
Waltz,Open Impetus and Wing,Gold,3,LF diag. fwd in PP L side leading,Pointing DC Body facing LOD,Nil,,TH,false,S,RF to side in PP having brushed to LF,Pointing to centre (moving DC),3/8 between 2-3 Body turns less,Up. Lower e/o 3,TH,false,S,
Waltz,Open Impetus and Wing,Gold,4,RF fwd in PP and CBMP,Pointing DC Body facing LOD,Body turn to L on 5,Slight rise on 5 and 6 NFR,H,true,S,LF fwd in PP and CBMP,Facing DC against LOD,1/8 to L between 3-4,Com to rise e/o 4,HT,true,S,
Waltz,Open Impetus and Wing,Gold,5,LF com. to close to RF,Towards alignment of 6,Body turn to L on 6,,Pressure on T of RF foot flat IE of T (LF),false,S,RF fwd preparing to step OP on L side,Facing against LOD,1/8 between 4-5,Cont to rise on 5,T,false,S,
Waltz,Open Impetus and Wing,Gold,6,LF closes to RF without weight,Facing DC,Nil,,Pressure on T of RF foot flat IE of T (LF),false,S,LF fwd in CBMP OP on L side,Facing DW against LOD,1/8 between 5-6,Up. Lower e/o 6,TH,false,S,
Waltz,Outside Spin,Silver,1,LF back in CBMP (small step),DC against LOD toe turned in.,3/8 to R on 1 (pivot),Rise e/o 2,THT,true,Nil,RF fwd in CBMP OP,Facing DC against LOD,Com to turn R,Com to rise e/o 1,HT,true,Nil,Note. Outside Spin may be underturned to back DC. Turn values for underturning given for side of room and corner.
Waltz,Outside Spin,Silver,2,RF fwd in CBMP OP,Facing against LOD,Cont to turn. 3/8 between 2-3,Up. Lower e/o 3,HT,true,Nil,LF closes to RF,Facing wall,5/8 between 1-2,Cont to rise on 2,T,false,Nil,
Waltz,Outside Spin,Silver,3,LF to side ending with LF back,Facing DC End facing DW,4 on 3,,TH,false,Nil,RF fwd ending in CBMP,Facing against LOD End backing DW,1/4 between 2-3 1/8 on 3,Up. Lower e/o 3,TH,false,Nil,
Waltz,Turning Lock,Gold,1,RF back R side leading,Backing DC,Nil,Com to rise e/o 1,T,false,L,LF fwd L side leading,Facing DC,Com to turn L,Com to rise e/o 1,HT,true,Nil,"Note. Timing: 1 & 2 3 1. Beat Value: 1/2, 1/2, 1, 1, 1."
Waltz,Turning Lock,Gold,2,LF crosses in front of RF,Backing DC,Com to turn L,Cont to rise on 2 and 3,T,false,L,RF crosses behind LF,Facing DC,Nil,Cont to rise on 2 and 3,TH,false,Nil,
Waltz,Turning Lock,Gold,3,RF back and slightly rightwards,Backing DC,1/4 between 3-4 Body turns less,,T,false,L,LF fwd and slightly leftwards,Facing DC,Nil,,TH,false,Nil,Note. Follow may overturn slightly to L on step 3 and turn head well to L.
Waltz,Turning Lock,Gold,4,LF to side and slightly fwd,Pointing DW,Nil,Up. Lower e/o 4,TH,false,S,RF to side and slightly back,Backing DW,1/4 between 3-4 Body turns less,Up. Lower e/o 4,TH,false,S,
Waltz,Turning Lock,Gold,5,RF fwd in CBMP OP,Facing DW,Nil,,H,true,S,LF back in CBMP,Backing DW,Nil,,TH,false,S,Note. Lead may commence RF back backing LOD with different alignment and turn.
Waltz,Left Whisk,Gold,1,RF fwd and across in PP and CBMP,Facing DW (Moving along LOD),Body com. to turn L,Nil,H,false,Nil,LF back in CBMP,Backing DC,Nil,Com to rise e/o 1 NFR,T,true,Nil,Note. Timing: 1 2 3. Follow head well to L step 3; poise back.
Waltz,Left Whisk,Gold,2,LF to side and slightly fwd,Pointing DW,Body turn to L,Nil,TH,false,Nil,RF to side and slightly back (small step),Backing DC,Slight body turn to L,Cont to rise on 2,,false,Nil,
Waltz,Left Whisk,Gold,3,RF crosses behind LF,Facing DW,Nil,Nil,T (RH lower next step),false,Nil,LF fwd in CBMP OP on L side,Facing DW against LOD,Nil,Up. Lower e/o 3,TH,false,Nil,
Waltz,Contra Check,Gold,1,LF fwd in CBMP,DW Pointing almost to LOD,Body turn to L,Down with knees slightly flexed,H or Ball Flat,true,Nil,RF back in CBMP,DW feet backing almost LOD,Body turn to L,Down with knees slightly flexed,TH,true,Nil,Note. Some prefer step forward with foot flat on step 1 Man.
Waltz,Contra Check,Gold,2,Transfer weight back to RF,Backing DC against LOD,Body turn to R,Rise e/o 2,T,false,Nil,Transfer weight fwd to LF,Facing DC against LOD,Body turn to R,Rise e/o 2,T,false,L,
Waltz,Contra Check,Gold,3,LF to side in PP,Facing DW (Moving along LOD),Nil,Up. Lower e/o 3,TH,false,Nil,RF to side in PP,Facing DC (Moving along LOD),1/4 to R between 2-3,Up. Lower e/o 3,TH,false,L,
Waltz,Closed Wing,Gold,1,RF fwd in CBMP OP,Facing DC,Nil,,H,false,Nil,LF back in CBMP,Backing DC,Nil,Com to rise e/o 1 NFR,TH,true,Nil,Note. Follow may turn L between 2-3 to end in PP moving DC.
Waltz,Closed Wing,Gold,2,LF commences to close to RF,Facing DC,Slight body turn to L on 2 and 3,Slight rise on 2 and 3 NFR,Whole foot,false,Nil,RF to side and slightly back (small step),Backing DC,Slight body turn to L,Cont to rise on 2,T,false,Nil,
Waltz,Closed Wing,Gold,3,LF closes to RF without weight,Facing DC,Nil,,Whole foot & pressure IE T LF,false,Nil,LF fwd in CBMP OP on L side,Facing DW against LOD,Nil,Up. Lower e/o 3,TH,false,Nil,
Waltz,Turning Lock to Right,Gold,1,RF back R side leading,Down LOD,Nil,Com to rise e/o 1,T,false,LLSS or RRSS,LF fwd L side leading,Down LOD,1/4 to R between 1-2,Com to rise e/o 1,T,false,RRSS or LLSS,"Note. Timing: 1 & 2 3. Beat Value: 1/2, 1/2, 1, 1."
Waltz,Turning Lock to Right,Gold,2,LF crosses loosely in front of RF,Facing centre,1/4 to R between 1-2,Cont to rise on 2 and 3,T,false,LLSS or RRSS,RF crosses loosely behind LF,Backing centre,1/8 between 2-3,Cont to rise on 2 and 3,T,false,RRSS or LLSS,"Note. Follow will not brush on preceding Natural Spin Turn, but brush towards when moving into step 4."
Waltz,Turning Lock to Right,Gold,3,RF to side and slightly fwd small step,Facing DC,1/8 between 2-3,Up. Lower e/o 4,T,false,LLSS or RRSS,LF to side and slightly back,Backing DC,3/8 between 3-4 Body turns less.,Up. Lower e/o 4,T,false,RRSS or LLSS,
Waltz,Turning Lock to Right,Gold,4,LF diag. fwd left side leading in PP,Pointing DC Body facing LOD,Slight body turn to R,,TH,false,LLSS or RRSS,RF to side in PP having brushed towards LF,Pointing to Centre Moving DC,,,TH,false,RRSS or LLSS,
Waltz,Fallaway Reverse and Slip Pivot,Gold,1,LF fwd,Facing DC,Com to turn L 1/4 between 1-2,Rise e/o 1,HT,true,Nil,RF back,Backing DC,Nil,Rise e/o 1 NFR,TH,false,Nil,"Note. Timing: 1 2 3 & OR 1 2 & 3. Beat Value: 1, 1, 1/2, 1/2 OR 1, 1/2, 1/2, 1."
Waltz,Fallaway Reverse and Slip Pivot,Gold,2,RF back in Fallaway R side leading,Backing DW Moving down LOD,1/8 between 2-3 Body turns less,Up,T,false,Nil,LF back in Fallaway L side leading,Backing DC Moving down LOD,Nil,Up,T,false,Nil,Note. A compact position on Fallaway is easier if Follow keeps head to L.
Waltz,Fallaway Reverse and Slip Pivot,Gold,3,LF back in CBMP and Fallaway,Backing LOD,1/4 between 3-4,Up. Lower e/o 3,TH,false,Nil,RF back in CBMP and Fallaway (small step) LF held in CBMP,Backing DC End facing centre,5/8 to L on 3 (Pivot),Up. Lower e/o 3,T,true,Nil,
Waltz,Fallaway Reverse and Slip Pivot,Gold,4,RF back LF held in CBMP,To centre toe turned in end facing LOD or DW,1/4 or 1/8 on 4 (pivot),,THT,true,Nil,LF fwd in CBMP RF held in CBMP,To centre. End backing LOD or DW,1/4 or 1/8 on 4 (pivot),,TH,true,Nil,
Waltz,Hover Corte,Silver,1,RF back,Backing LOD,Com to turn L,Com to rise e/o 1 NFR,TH,true,S,LF fwd,Facing LOD,Com to turn L,Com to rise e/o 1,HT,true,S,Note. May be danced using extra bar of music (3-5 beats) with modified Footwork and Sway.
Waltz,Hover Corte,Silver,2,LF to side and slightly fwd,Pointing DW,3/8 between 1-2 Body turns less,Cont to rise on 2,T,false,R,RF to side and LF brushes towards RF,Facing centre to end facing DC against LOD,1/4 between 1-2 Cont to turn 1/8 on 2,Cont to rise on 2,T,false,L,
Waltz,Hover Corte,Silver,3,Transfer weight to RF side and slightly back,Backing DC against LOD,Cont turn body on 2,Up. Lower e/o 3,TH,false,S,LF diag. fwd,Facing DC against LOD,Nil,Up. Lower e/o 3,TH,false,S,
Waltz,Hover Corte,Silver,4,LF back in CBMP,Backing DC against LOD,Nil,,T,true,S,RF fwd in CBMP OP,Facing DC against LOD,Nil,,H,true,S,
Waltz,Closed Change Natural to Reverse,Pre-Bronze,1,RF fwd,Facing DC,Nil,Com to rise e/o 1,HT,true,S,LF back,Backing DC,Nil,Com to rise e/o 1 NFR,TH,true,S,Note. a very slight turn to R may be made.
Waltz,Closed Change Natural to Reverse,Pre-Bronze,2,LF to side and slightly fwd,Facing DC,Nil,Cont to rise on 2 and 3,T,false,R,RF to side and slightly back,Backing DC,Nil,Cont to rise on 2 and 3,T,false,L,
Waltz,Closed Change Natural to Reverse,Pre-Bronze,3,RF closes to LF,Facing DC,Nil,Lower e/o 3,TH,false,R,LF closes to RF,Backing DC,Nil,Lower e/o 3,TH,false,L,
Waltz,Natural Turn,Pre-Bronze,1,RF fwd,Facing DW,Com to turn R 1/4 between 1-2,Com to rise e/o 1,HT,true,S,LF back,Backing DW,Com to turn R,Com to rise e/o 1 NFR,TH,true,S,Note. CBM on 1 and 4.
Waltz,Natural Turn,Pre-Bronze,2,LF to side,Backing DC,1/8 between 2-3,Cont to rise on 2 and 3,T,false,R,RF to side,Pointing to LOD,3/8 between 1-2 Body turns less,Cont to rise on 2 and 3,T,false,L,
Waltz,Natural Turn,Pre-Bronze,3,RF closes to LF,Backing LOD,Nil,Lower e/o 3,TH,false,R,LF closes to RF,Facing LOD,Body completes turn,Lower e/o 3,TH,false,L,
Waltz,Natural Turn,Pre-Bronze,4,LF back,Backing LOD,Com to turn R 3/8 between 4-5 Body turns less,Com to rise e/o 4 NFR,TH,true,S,RF fwd,Facing LOD,Com to turn R,Com to rise e/o 4,HT,true,S,
Waltz,Natural Turn,Pre-Bronze,5,RF to side,Pointing DC,Nil,Cont to rise on 5-6,T,false,L,LF to side,Backing centre,1/4 between 4-5,Cont to rise on 5 and 6,T,false,R,
Waltz,Natural Turn,Pre-Bronze,6,LF closes to RF,Facing DC,Body completes turn,Lower e/o 6,TH,false,L,RF closes to LF,Backing DC,1/8 between 5-6 Body completes turn,Lower e/o 6,TH,false,R,
